
state,county,precincts,reporting,biden,clinton,dodd,edwards,kucinich,obama,richardson,uncommitted-d,cort,giuliani,huckabee,hunter,keyes,mccain,paul,romney,thompson,tran,uncommitted-r
TX,Harris,875,1,76,66221,106,500,,110072,156,,,,,,,,,,,,
TX,Harrison,26,1,20,2023,9,130,,1933,48,,0,5,835,4,7,746,79,21,21,1,8
TX,Hartley,7,7,3,215,0,12,,87,5,,0,1,361,1,3,375,17,10,5,0,6
TX,Haskell,11,1,1,181,3,8,,53,8,,,,,,,,,,,,
TX,Haskell,2,2,,,,,,,,,0,0,67,0,1,60,10,1,1,0,1
TX,Hays,37,1,10,3285,1,46,,4919,21,,1,7,823,3,17,1380,369,72,12,1,0
TX,Hemphill,9,1,2,25,0,1,,17,1,,0,6,97,1,1,207,8,4,0,0,6
TX,Henderson,32,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Hidalgo,141,1,117,37645,57,347,,12520,311,,7,33,970,11,16,1875,125,104,19,3,40
TX,Hill,24,1,0,766,2,10,,318,3,,0,3,403,8,4,625,37,16,11,0,14
TX,Hockley,6,1,1,346,1,7,,175,2,,,,,,,,,,,,
TX,Hockley,12,1,,,,,,,,,4,8,470,0,4,727,16,15,13,0,24
TX,Hood,17,1,3,1200,4,23,,714,5,,1,22,878,13,4,1805,80,64,27,3,49
TX,Hopkins,22,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Houston,22,21,5,1284,21,105,,1319,9,,1,7,944,2,13,1383,72,25,17,0,44
TX,Howard,6,6,7,1459,3,49,,751,11,,2,16,1209,7,23,1641,64,61,37,0,67
TX,Hudspeth,6,1,0,39,0,1,,10,4,,,,,,,,,,,,
TX,Hudspeth,2,2,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
TX,Hunt,37,1,1,1210,2,27,,831,6,,1,17,983,10,8,1208,92,51,31,0,94
TX,Hutchinson,9,1,0,385,0,7,,178,7,,0,4,417,4,3,579,13,18,8,0,9

TX,Irion,6,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Jack,7,7,2,492,1,30,,241,7,,2,3,264,2,4,254,18,2,9,0,5
TX,Jackson,10,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
TX,Jasper,21,1,28,1465,27,263,,1000,53,,0,1,163,2,1,159,9,7,4,1,2
TX,Jeff Davis,6,2,0,133,5,22,,141,12,,,,,,,,,,,,
TX,Jeff Davis,6,6,,,,,,,,,0,4,57,8,2,99,24,3,1,1,1
TX,Jefferson,117,1,30,7358,26,204,,13282,93,,1,13,1011,6,41,1843,120,63,27,9,23
TX,Jim Hogg,6,1,5,897,2,20,,211,10,,,,,,,,,,,,
TX,Jim Hogg,2,2,,,,,,,,,0,0,7,0,0,5,0,0,0,0,0
TX,Jim Wells,22,1,15,3025,7,88,,1042,38,,0,3,39,0,0,40,1,0,0,0,1
TX,Johnson,22,15,6,4857,5,56,,2142,5,,5,21,2501,17,35,2603,214,104,63,2,55
